1486579298.000000069,1486579303.000000029,22,left,right
1486579304.000000063,1486579308.000000072,22,right,left
1486579309.000000089,1486579314.000000028,22,left,right
1486579315.000000076,1486579319.000000068,22,right,left
1486579321.000000034,1486579325.000000002,22,left,right
1486579326.000000064,1486579330.000000034,22,right,left
1486579331.000000047,1486579336.000000084,22,left,right
1486579337.000000065,1486579341.000000018,22,right,left
1486579342.000000042,1486579346.000000026,22,left,right
1486579347.000000051,1486579351.000000006,22,right,left
1486579352.000000003,1486579355.000000099,22,left,right
1486579357.000000012,1486579360.000000098,22,right,left
1486579362.000000004,1486579366.000000005,22,left,right
1486579367.000000023,1486579370.000000062,22,right,left
1486579371.000000065,1486579375.000000049,22,left,right
1486579376.000000004,1486579379.000000096,22,right,left
1486579381.000000009,1486579384.000000072,22,left,right
1486579386.000000005,1486579389.000000038,22,right,left
1486579390.000000053,1486579394.000000038,22,left,right
1486579395.000000053,1486579399.000000032,22,right,left
