1486429302.000000527,1486429303.000000374,40,right,left,1
1486429310.000000350,1486429311.000000234,19,left,right,2
1486429318.000000329,1486429319.000000213,46,right,left,3
1486429326.000000075,1486429326.000000845,25,left,right,4
1486429331.000000394,1486429332.000000166,20,right,left,5
1486429337.000000175,1486429337.000000945,23,left,right,6
1486429341.000000800,1486429342.000000570,30,right,left,7
1486429348.000000275,1486429348.000000935,20,left,right,8
1486429354.000000172,1486429354.000000943,41,right,left,9
1486429360.000000879,1486429361.000000649,34,left,right,10
