1486590275.000000046,1486590279.000000038,22,right,left
1486590280.000000053,1486590283.000000074,22,left,right
1486590285.000000014,1486590288.000000095,22,right,left
1486590290.000000003,1486590293.000000084,22,left,right
1486590295.000000008,1486590299.000000002,22,right,left
1486590300.000000053,1486590304.000000044,22,left,right
1486590305.000000059,1486590309.000000074,22,right,left
1486590310.000000008,1486590314.000000099,22,left,right
1486590316.000000037,1486590320.000000032,22,right,left
1486590321.000000031,1486590325.000000036,22,left,right
1486590326.000000075,1486590330.000000059,22,right,left
1486590331.000000071,1486590335.000000055,22,left,right
1486590336.000000076,1486590340.000000077,22,right,left
1486590341.000000085,1486590345.000000092,22,left,right
1486590346.000000066,1486590350.000000081,22,right,left
1486590351.000000086,1486590355.000000079,22,left,right
1486590356.000000087,1486590361.000000008,22,right,left
1486590362.000000024,1486590366.000000011,22,left,right
1486590367.000000022,1486590370.000000057,22,right,left
1486590371.000000098,1486590376.000000022,22,left,right
